"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643513238752496;"20:21:00";"20:21:00";"2913";2;0;0
"M1";113643513238752496;"20:21:52";"20:21:52";"1639";3;0;0
"M1";113643513238752496;"20:23:17";"20:23:17";"1640B";4;0;0
"M1";113643513238752496;"20:26:00";"20:26:00";"1382";5;0;0
"M1";113643514238752496;"20:23:00";"20:23:00";"7832";1;0;0
"M1";113643514238752496;"20:26:00";"20:26:00";"2913";2;0;0
"M1";113643514238752496;"20:26:52";"20:26:52";"1639";3;0;0
"M1";113643514238752496;"20:28:17";"20:28:17";"1640B";4;0;0
"M1";113643514238752496;"20:31:00";"20:31:00";"1382";5;0;0
"M1";113643515238752496;"20:28:00";"20:28:00";"7832";1;0;0
"M1";113643515238752496;"20:31:00";"20:31:00";"2913";2;0;0
"M1";113643515238752496;"20:31:52";"20:31:52";"1639";3;0;0
"M1";113643515238752496;"20:33:17";"20:33:17";"1640B";4;0;0
"M1";113643515238752496;"20:36:00";"20:36:00";"1382";5;0;0
"M1";113643516238752496;"20:33:00";"20:33:00";"7832";1;0;0
"M1";113643516238752496;"20:36:00";"20:36:00";"2913";2;0;0
"M1";113643516238752496;"20:36:52";"20:36:52";"1639";3;0;0
"M1";113643516238752496;"20:38:17";"20:38:17";"1640B";4;0;0
"M1";113643516238752496;"20:41:00";"20:41:00";"1382";5;0;0
"M1";113643517238752496;"20:38:00";"20:38:00";"7832";1;0;0
"M1";113643517238752496;"20:41:00";"20:41:00";"2913";2;0;0
"M1";113643517238752496;"20:41:52";"20:41:52";"1639";3;0;0
"M1";113643517238752496;"20:43:17";"20:43:17";"1640B";4;0;0
"M1";113643517238752496;"20:46:00";"20:46:00";"1382";5;0;0
"M1";113643518238752496;"20:43:00";"20:43:00";"7832";1;0;0
"M1";113643518238752496;"20:46:00";"20:46:00";"2913";2;0;0
"M1";113643518238752496;"20:46:52";"20:46:52";"1639";3;0;0
"M1";113643518238752496;"20:48:17";"20:48:17";"1640B";4;0;0
"M1";113643518238752496;"20:51:00";"20:51:00";"1382";5;0;0
"M1";113643519238752496;"20:48:00";"20:48:00";"7832";1;0;0
"M1";113643519238752496;"20:51:00";"20:51:00";"2913";2;0;0
"M1";113643519238752496;"20:51:52";"20:51:52";"1639";3;0;0
"M1";113643519238752496;"20:53:17";"20:53:17";"1640B";4;0;0
"M1";113643519238752496;"20:56:00";"20:56:00";"1382";5;0;0
"M1";113643520238752496;"20:53:00";"20:53:00";"7832";1;0;0
