Code_Ligne,Variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,Distance
072b,"1","10","2046",HERRMANN-DEBROUX,HERRMANN-DEBROUX,Herrmann-Debroux,Herrmann-Debroux,154254.00000000000,166881.00000000000,B,"72",ADEPS,3637.125
072b,"1","11","3526",JARDIN MASSART,MASSARTTUIN,Jardin Massart,Massarttuin,154592.00000000000,166973.00000000000,B,"72",ADEPS,3988.405
072b,"1","12","3529",ROUGE-CLOITRE,ROODKLOOSTER,Rouge-Cloître,Roodklooster,155000.00000000000,166781.00000000000,B,"72",ADEPS,4446.730
072b,"1","13","3522",ADEPS,ADEPS,ADEPS,ADEPS,155265.00000000000,166603.00000000000,B,"72",ADEPS,4765.993
074b,"1","1","2417",UCCLE-STALLE,UKKEL-STALLE,Uccle-Stalle,Ukkel-Stalle,146856.00000000000,165763.00000000000,B,"74",CLEMENCE EVERARD,0.000
074b,"1","2","2452",VICTOR ALLARD,VICTOR ALLARD,Victor Allard,Victor Allard,147080.00000000000,165587.00000000000,B,"74",CLEMENCE EVERARD,396.089
074b,"1","3","2453",DECROLY,DECROLY,Decroly,Decroly,147134.00000000000,166020.00000000000,B,"74",CLEMENCE EVERARD,834.915
074b,"1","4","2632",FORESTOISE,FORESTOISE,Forestoise,Forestoise,147008.10000000001,166334.10000000001,B,"74",CLEMENCE EVERARD,1184.087
074b,"1","5",2616B,FOREST NATIONAL,VORST NATIONAAL,Forest National,Vorst Nationaal,146809.10000000001,166585.50000000000,B,"74",CLEMENCE EVERARD,1588.004
074b,"1","6",2939B,GARE FOREST-EST,STAT. VORST-OOST,Gare de Forest-Est,Station Vorst-Oost,146589.29999999999,166541.00000000000,B,"74",CLEMENCE EVERARD,1839.259
074b,"1","7","5152",SAINT-DENIS,SINT-DENIJS,Saint-Denis,Sint-Denijs,146421.00000000000,166678.00000000000,B,"74",CLEMENCE EVERARD,2129.092
074b,"1","8","5161",FOREST CENTRE,VORST CENTRUM,Forest Centre,Vorst Centrum,146476.00000000000,166789.00000000000,B,"74",CLEMENCE EVERARD,2253.362
074b,"1","9","1085",BERVOETS,BERVOETS,Bervoets,Bervoets,146598.50000000000,167448.50000000000,B,"74",CLEMENCE EVERARD,2939.737
074b,"1","10","2551",CHARROI,GERIJ,Charroi,Gerij,146687.00000000000,167972.00000000000,B,"74",CLEMENCE EVERARD,3548.353
074b,"1","11","2556",ILE SAINTE-HELENE,EILAND ST-HELENA,Île Sainte-Hélène,Eiland Sint-Helena,146291.00000000000,168119.79999999999,B,"74",CLEMENCE EVERARD,3971.141
074b,"1","12","3681",DIGUE DU CANAL,VAARTDIJK,Digue du Canal,Vaartdijk,145913.00000000000,168173.00000000000,B,"74",CLEMENCE EVERARD,4353.378
074b,"1","13","2550",VAN KALKEN,VAN KALKEN,van Kalken,van Kalken,145509.00000000000,168515.00000000000,B,"74",CLEMENCE EVERARD,4942.268
074b,"1","14","2252",ARISTIDE BRIAND,ARISTIDE BRIAND,Aristide Briand,Aristide Briand,145346.00000000000,168727.00000000000,B,"74",CLEMENCE EVERARD,5315.806
074b,"1","15","2617",VEEWEYDE,VEEWEIDE,Veeweyde,Veeweide,145054.50000000000,168680.39999999999,B,"74",CLEMENCE EVERARD,5625.791
074b,"1","16","2618",DEBUSSY,DEBUSSY,Debussy,Debussy,144774.00000000000,168575.00000000000,B,"74",CLEMENCE EVERARD,5925.398
074b,"1","17","2619",FRANS HALS,FRANS HALS,Frans Hals,Frans Hals,144513.79999999999,168478.39999999999,B,"74",CLEMENCE EVERARD,6203.192
074b,"1","18","2620",MARTIN LUTH. KING,MARTIN LUTH. KING,Martin Luther King,Martin Luther King,144255.10000000001,168323.00000000000,B,"74",CLEMENCE EVERARD,6510.333
074b,"1","19","2621",MARIE CURIE,MARIE CURIE,Marie Curie,Marie Curie,144024.10000000001,167935.70000000001,B,"74",CLEMENCE EVERARD,6971.777
074b,"1","20","2622",TREFLES,KLAVER,Trèfles,Klaver,143959.20000000001,167682.00000000000,B,"74",CLEMENCE EVERARD,7233.613
074b,"1","21","2623",EDDY MERCKX,EDDY MERCKX,Eddy Merckx,Eddy Merckx,143647.10000000001,167402.70000000001,B,"74",CLEMENCE EVERARD,7692.376
074b,"1","22","2624",MEYLEMEERSCH,MIJLENMEERS,Meylemeersch,Mijlenmeers,143369.20000000001,167294.29999999999,B,"74",CLEMENCE EVERARD,7991.116
074b,"1","23","2625",ERASME,ERASMUS,Erasme,Erasmus,142731.20000000001,167207.10000000001,B,"74",CLEMENCE EVERARD,8637.260
074b,"1","24","3046",CLEMENCE EVERARD,CLEMENCE EVERARD,Clémence Everard,Clémence Everard,142710.50000000000,167466.20000000001,B,"74",CLEMENCE EVERARD,9193.749
074b,"1","25","3074",CLEMENCE EVERARD,CLEMENCE EVERARD,Clémence Everard,Clémence Everard,142823.70000000001,167545.10000000001,B,"74",CLEMENCE EVERARD,10031.034
075b,"1","1","2383",CERIA,COOVI,CERIA,COOVI,144461.50000000000,167306.60000000001,B,"75",BON AIR,0.150
075b,"1","2","1478",CAMPUS CERIA,CAMPUS COOVI,Campus CERIA,Campus COOVI,144804.00000000000,167271.00000000000,B,"75",BON AIR,504.068
075b,"1","3","1479",COLOMBOPHILES,DUIVENMELKERS,Colombophiles,Duivenmelkers,145033.00000000000,167581.00000000000,B,"75",BON AIR,975.346
075b,"1","4","1498",HUIT HEURES,ACHT UREN,Huit Heures,Acht Uren,145108.00000000000,167787.00000000000,B,"75",BON AIR,1240.186
075b,"1","5","1480",WAXWEILER,WAXWEILER,Waxweiler,Waxweiler,144927.00000000000,168074.00000000000,B,"75",BON AIR,1692.006
075b,"1","6",5297B,BIZET,BIZET,Bizet,Bizet,145025.00000000000,168338.50000000000,B,"75",BON AIR,1974.584
075b,"1","7","1495",VAN BEETHOVEN,VAN BEETHOVEN,van Beethoven,van Beethoven,144726.00000000000,168729.00000000000,B,"75",BON AIR,2476.726
075b,"1","8",6856B,YSAYE,YSAYE,Ysaye,Ysaye,144917.00000000000,168884.00000000000,B,"75",BON AIR,2746.384
075b,"1","9","2319",HOPITAL BRACOPS,BRACOPS-ZIEKENH.,Hôpital Joseph Bracops,Joseph Bracops-ziekenhuis,144818.00000000000,169229.00000000000,B,"75",BON AIR,3194.992
075b,"1","10","1482",RENE HENRY,RENE HENRY,René Henry,René Henry,144826.00000000000,169529.00000000000,B,"75",BON AIR,3509.614
075b,"1","11","1260",FRUITS,FRUIT,Fruits,Fruit,144451.00000000000,169686.00000000000,B,"75",BON AIR,4023.748
075b,"1","12","1483",WESTLAND SHOPPING,WESTLAND SHOPPING,Westland Shopping,Westland Shopping,144014.00000000000,169716.00000000000,B,"75",BON AIR,4463.053
075b,"1","13","1484",POMMIER,APPELBOOM,Pommier,Appelboom,143776.00000000000,169419.00000000000,B,"75",BON AIR,4971.939
075b,"1","14","1018",BON AIR,GOEDE LUCHT,Bon Air,Goede Lucht,143355.00000000000,169511.00000000000,B,"75",BON AIR,5406.546
075b,"1","15",1486B,BON AIR,GOEDE LUCHT,Bon Air,Goede Lucht,143419.60000000001,169482.00000000000,B,"75",BON AIR,5552.363
076b,"1","1",1638B,KRAAINEM,KRAAINEM,Kraainem,Kraainem,156324.00000000000,170932.00000000000,B,"76",OPPEM,0.010
076b,"1","2","1601",REINE ASTRID,KONINGIN ASTRID,Reine Astrid,Koningin Astrid,156923.00000000000,170858.00000000000,B,"76",OPPEM,644.932
076b,"1","3","2424",KRAAINEM-SHOPPING,KRAAINEM-SHOPPING,Kraainem-Shopping,Kraainem-Shopping,157420.00000000000,170854.00000000000,B,"76",OPPEM,1142.979
076b,"1","4",1614B,RING 0,RING 0,Ring 0,Ring 0,158046.00000000000,171074.00000000000,B,"76",OPPEM,1810.237
076b,"1","5","1615",GERGEL,GERGEL,Gergel,Gergel,158320.00000000000,171119.00000000000,B,"76",OPPEM,2163.699
076b,"1","6","1605",LOUIS MARCELIS,LOUIS MARCELIS,Louis Marcelis,Louis Marcelis,158075.00000000000,170734.00000000000,B,"76",OPPEM,2653.150
076b,"1","7","1617",PLAINE DES SPORTS,SPORTPLEIN,Plaine des Sports,Sportplein,158347.00000000000,170356.00000000000,B,"76",OPPEM,3121.889
076b,"1","8","1602",VIOLETTES,VIOOLTJES,Violettes,Viooltjes,158157.00000000000,170044.00000000000,B,"76",OPPEM,3518.718
076b,"1","9",1620B,HERNALSTEEN,HERNALSTEEN,Hernalsteen,Hernalsteen,158508.00000000000,169977.00000000000,B,"76",OPPEM,3945.275
076b,"1","10","1627",STIJN STREUVELS,STIJN STREUVELS,Stijn Streuvels,Stijn Streuvels,158876.00000000000,169906.00000000000,B,"76",OPPEM,4338.019
076b,"1","11","9164",MARMOTTE,MARMOT,Marmotte,Marmot,159107.00000000000,169603.00000000000,B,"76",OPPEM,4719.456
076b,"1","12","1629",OPPEM,OPPEM,Oppem,Oppem,158942.00000000000,169490.00000000000,B,"76",OPPEM,5022.426
077b,"1","1",1638B,KRAAINEM,KRAAINEM,Kraainem,Kraainem,156324.00000000000,170932.00000000000,B,"77",HIPPODROME,0.010
077b,"1","2","1601",REINE ASTRID,KONINGIN ASTRID,Reine Astrid,Koningin Astrid,156923.00000000000,170858.00000000000,B,"77",HIPPODROME,644.932
077b,"1","3","2424",KRAAINEM-SHOPPING,KRAAINEM-SHOPPING,Kraainem-Shopping,Kraainem-Shopping,157420.00000000000,170854.00000000000,B,"77",HIPPODROME,1142.979
077b,"1","4","1616",VOISINS,GEBUREN,Voisins,Geburen,157973.00000000000,171311.00000000000,B,"77",HIPPODROME,2023.753
077b,"1","5","1625",EGLISE WEZEMBEEK,KERK WEZEMBEEK,Église Wezembeek,Kerk Wezembeek,158027.00000000000,171389.00000000000,B,"77",HIPPODROME,2229.140
077b,"1","6","1375",GERGEL,GERGEL,Gergel,Gergel,158383.00000000000,171207.00000000000,B,"77",HIPPODROME,2698.255
077b,"1","7","1377",DEUTSCHE SCHULE,DEUTSCHE SCHULE,Deutsche Schule,Deutsche Schule,158675.00000000000,171344.00000000000,B,"77",HIPPODROME,3036.233
077b,"1","8","1380",LONG-CHENE,LANGE EIK,Long-Chêne,Lange Eik,159024.00000000000,171445.00000000000,B,"77",HIPPODROME,3401.655
077b,"1","9","9169",VIER HUISKENS,VIER HUISKENS,Vier Huiskens,Vier Huiskens,159322.00000000000,171435.00000000000,B,"77",HIPPODROME,3703.779
077b,"1","10","7501",HIPPODROME,HIPPODROOM,Hippodrome,Hippodroom,159619.00000000000,171022.00000000000,B,"77",HIPPODROME,4251.164
078b,"1","1","3850",HUMANITE,HUMANITEIT,Humanité,Humaniteit,145399.00000000000,166705.00000000000,B,"78",GARE DU MIDI,0.038
078b,"1","2","3815",MOZART,MOZART,Mozart,Mozart,145542.00000000000,166700.00000000000,B,"78",GARE DU MIDI,202.040
078b,"1","3","3851",BOLLINCKX,BOLLINCKX,Bollinckx,Bollinckx,145657.00000000000,166998.00000000000,B,"78",GARE DU MIDI,521.562
078b,"1","4","3860",INTERNATIONAL,INTERNATIONAAL,Boulevard International,Internationalelaan,145708.00000000000,167309.00000000000,B,"78",GARE DU MIDI,853.326
078b,"1","5","3859",LABEUR,ARBEID,Labeur,Arbeid,145762.00000000000,167716.00000000000,B,"78",GARE DU MIDI,1265.172
078b,"1","6","3856",DIGUE DU CANAL,VAARTDIJK,Digue du Canal,Vaartdijk,145855.00000000000,168218.00000000000,B,"78",GARE DU MIDI,1795.550
078b,"1","7","1665",HERMES,HERMES,Hermes,Hermes,146313.79999999999,168686.89999999999,B,"78",GARE DU MIDI,2465.249
078b,"1","8","3858",PETITE ILE,KLEIN EILAND,Petite Île,Klein Eiland,146570.00000000000,168907.00000000000,B,"78",GARE DU MIDI,2803.308
078b,"1","9","3852",DEUX GARES,TWEE STATIONS,Deux Gares,Twee Stations,146906.00000000000,169071.00000000000,B,"78",GARE DU MIDI,3180.070
078b,"1","10","2528",VETERINAIRES,VEEARTSEN,Vétérinaires,Veeartsen,147193.00000000000,169135.00000000000,B,"78",GARE DU MIDI,3474.150
078b,"1","11","2541",PLACE V. HORTA,VICTOR HORTAPLEIN,Place Victor Horta,Victor Hortaplein,147473.00000000000,169374.70000000001,B,"78",GARE DU MIDI,3857.669
078b,"1","12","1662",GARE DU MIDI,ZUIDSTATION,Gare du Midi,Zuidstation,147728.70000000001,169788.79999999999,B,"78",GARE DU MIDI,4579.084
079b,"1","1","1339",KRAAINEM,KRAAINEM,Kraainem,Kraainem,156356.89999999999,170961.79999999999,B,"79",SCHUMAN,0.208
079b,"1","2","2041",MOUNIER,MOUNIER,Mounier,Mounier,156321.00000000000,171099.00000000000,B,"79",SCHUMAN,525.554
079b,"1","3","2042",AUDITOIRES-UCL,AUDITOIRES-UCL,Auditoires-UCL,Auditoires-UCL,156011.00000000000,171147.00000000000,B,"79",SCHUMAN,847.316
079b,"1","4","2043",CLINIQUES-UCL,CLINIQUES-UCL,Cliniques-UCL,Cliniques-UCL,155829.00000000000,171212.00000000000,B,"79",SCHUMAN,1041.211
079b,"1","5","9853",HOF TER MUSSCHEN,HOF TER MUSSCHEN,Hof ter Musschen,Hof ter Musschen,155563.00000000000,171565.00000000000,B,"79",SCHUMAN,1582.744
079b,"1","6","2028",THIRY-WOLUWE,THIRY-WOLUWE,Thiry-Woluwe,Thiry-Woluwe,155258.39999999999,171507.10000000001,B,"79",SCHUMAN,2053.927
079b,"1","7","1531",MARCEL THIRY,MARCEL THIRY,Marcel Thiry,Marcel Thiry,154945.00000000000,171694.00000000000,B,"79",SCHUMAN,2432.618
079b,"1","8","1320",ARIANE,ARIANE,Ariane,Ariane,154386.00000000000,171785.00000000000,B,"79",SCHUMAN,3018.572
079b,"1","9","1533",GULLEDELLE,GULLEDELLE,Gulledelle,Gulledelle,154184.00000000000,171680.00000000000,B,"79",SCHUMAN,3246.337
079b,"1","10","3920",ANDROMEDE,ANDROMEDA,Andromède,Andromeda,153969.00000000000,171591.00000000000,B,"79",SCHUMAN,3588.974
079b,"1","11","3902",CAPRICORNE,STEENBOK,Capricorne,Steenbok,153671.00000000000,171642.00000000000,B,"79",SCHUMAN,3944.030
079b,"1","12","3903",PLEIADES,PLEJADEN,Pléiades,Plejaden,153486.20000000001,171514.60000000001,B,"79",SCHUMAN,4172.476
079b,"1","13","3904",CARENE,CARINA,Carène,Carina,153224.00000000000,171570.00000000000,B,"79",SCHUMAN,4519.722
079b,"1","14","3905",COLONEL BOURG,KOLONEL BOURG,Colonel Bourg,Kolonel Bourg,152874.00000000000,171351.00000000000,B,"79",SCHUMAN,4943.190
079b,"1","15","3911",DIVIN SAUVEUR,GODD. ZALIGMAKER,Divin Sauveur,Goddelijke Zaligmaker,152793.00000000000,171104.50000000000,B,"79",SCHUMAN,5321.469
079b,"1","16","6450",DIAMANT,DIAMANT,Diamant,Diamant,152318.00000000000,170934.00000000000,B,"79",SCHUMAN,5829.253
079b,"1","17","1462",VICTOR HUGO,VICTOR HUGO,Victor Hugo,Victor Hugo,152070.00000000000,170847.00000000000,B,"79",SCHUMAN,6092.206
079b,"1","18","6055",JAMBLINNE DE MEUX,JAMBLINNE DE MEUX,de Jamblinne de Meux,de Jamblinne de Meux,151726.00000000000,170740.00000000000,B,"79",SCHUMAN,6492.214
079b,"1","19","1463",GUEUX,GEUZEN,Gueux,Geuzen,151560.00000000000,170733.00000000000,B,"79",SCHUMAN,6669.650
079b,"1","20","1464",MICHEL-ANGE,MICHELANGELO,Michel-Ange,Michelangelo,151254.00000000000,170542.00000000000,B,"79",SCHUMAN,7030.352
079b,"1","21",1474B,SCHUMAN,SCHUMAN,Schuman,Schuman,151062.79999999999,170336.39999999999,B,"79",SCHUMAN,7339.829
080b,"1","1","1824",PORTE DE NAMUR,NAAMSEPOORT,Porte de Namur,Naamsepoort,149711.50000000000,169916.89999999999,B,"80",HAREN,1.321
080b,"1","2","6433",TRONE,TROON,Trône,Troon,149885.00000000000,169988.00000000000,B,"80",HAREN,222.391
080b,"1","3","1729",SCIENCE,WETENSCHAP,Science,Wetenschap,150043.60000000001,169936.70000000001,B,"80",HAREN,389.028
080b,"1","4","1233",LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150280.39999999999,169835.89999999999,B,"80",HAREN,652.210
080b,"1","5","1706",IDALIE,IDALIE,Idalie,Idalie,150263.00000000000,169501.00000000000,B,"80",HAREN,1171.966
080b,"1","6","1728",MUSEUM,MUSEUM,Museum,Museum,150593.00000000000,169481.00000000000,B,"80",HAREN,1505.064
080b,"1","7","3160",ETANGS,VIJVERS,Étangs,Vijvers,150851.00000000000,169522.00000000000,B,"80",HAREN,1804.157
080b,"1","8","3953",LEMAN,LEMAN,Leman,Leman,151247.00000000000,169594.00000000000,B,"80",HAREN,2229.563
080b,"1","9","1135",GAULOIS,GALLIERS,Gaulois,Galliërs,151694.00000000000,169739.00000000000,B,"80",HAREN,2758.420
080b,"1","10","1136",MERODE,MERODE,Merode,Merode,152097.00000000000,169867.00000000000,B,"80",HAREN,3204.831
080b,"1","11","2283",MONTGOMERY,MONTGOMERY,Montgomery,Montgomery,152773.00000000000,169621.00000000000,B,"80",HAREN,3942.739
080b,"1","12","1113",ICHEC,ICHEC,ICHEC,ICHEC,152784.00000000000,169822.00000000000,B,"80",HAREN,4153.925
080b,"1","13","1139",GEORGES HENRI,GEORGES HENRI,Georges Henri,Georges Henri,152674.00000000000,170194.00000000000,B,"80",HAREN,4543.535
080b,"1","14","1140",DEGROOFF,DEGROOFF,Degrooff,Degrooff,153043.00000000000,170360.00000000000,B,"80",HAREN,4974.338
080b,"1","15","1141",MEUDON,MEUDON,Meudon,Meudon,153418.00000000000,170518.00000000000,B,"80",HAREN,5381.950
080b,"1","16","3954",HEYDENBERG,HEYDENBERG,Heydenberg,Heydenberg,153408.00000000000,170963.00000000000,B,"80",HAREN,5870.061
080b,"1","17","3952",FEVRIER,FEBRUARI,Février,Februari,152922.00000000000,171157.00000000000,B,"80",HAREN,6485.745
080b,"1","18","3956",COLONEL BOURG,KOLONEL BOURG,Colonel Bourg,Kolonel Bourg,152869.00000000000,171334.00000000000,B,"80",HAREN,6727.647
080b,"1","19","3957",CARENE,CARINA,Carène,Carina,153271.00000000000,171591.00000000000,B,"80",HAREN,7206.572
080b,"1","20","3272",PADUWA,PADUWA,Paduwa,Paduwa,153254.00000000000,172148.00000000000,B,"80",HAREN,7992.594
080b,"1","21","3273",ARTEMIS,ARTEMIS,Artémis,Artémis,153322.00000000000,172354.00000000000,B,"80",HAREN,8209.550
080b,"1","22","3274",CIM. DE BRUXELLES,BEGR. VAN BRUSSEL,Cimetière de Bruxelles,Begraafplaats van Brussel,153517.00000000000,172650.00000000000,B,"80",HAREN,8625.050
080b,"1","23","3285",DIABLOTINS,DUIVELTJES,Diablotins,Duiveltjes,153754.00000000000,172778.00000000000,B,"80",HAREN,8894.407
080b,"1","24","3276",JULES BORDET,JULES BORDET,Jules Bordet,Jules Bordet,153520.00000000000,173376.00000000000,B,"80",HAREN,9635.936
080b,"1","25","5046",DA VINCI,DA VINCI,Da Vinci,Da Vinci,153138.29999999999,173802.70000000001,B,"80",HAREN,10218.357
080b,"1","26","5361",BORDET STATION,BORDET STATION,Bordet Station,Bordet Station,152888.00000000000,174231.00000000000,B,"80",HAREN,10716.289
080b,"1","27","1283",BIPLAN,TWEEDEKKER,Biplan,Tweedekker,152914.00000000000,174860.00000000000,B,"80",HAREN,11396.969
080b,"1","28",2294B,GARE DE HAREN-SUD,STAT. HAREN-ZUID,Gare de Haren-Sud,Station Haren-Zuid,153369.00000000000,175473.00000000000,B,"80",HAREN,12177.192
080b,"1","29","2987",CORTENBACH,KORTENBACH,Cortenbach,Kortenbach,153467.00000000000,175723.00000000000,B,"80",HAREN,12557.391
080b,"1","30",2986B,TWYENINCK,TWYENINCK,Twyeninck,Twyeninck,153686.00000000000,176207.00000000000,B,"80",HAREN,13100.741
080b,"1","31","9946",HAREN,HAREN,Haren,Haren,153812.00000000000,175858.00000000000,B,"80",HAREN,13558.877
083b,"1","1","2845",GARE DE BERCHEM,STATION BERCHEM,Gare de Berchem,Station Berchem,144444.10000000001,173552.20000000001,B,"83",VAL MARIA,0.000
083b,"1","2","2864",GARE DE BERCHEM,STATION BERCHEM,Gare de Berchem,Station Berchem,144511.39999999999,173566.70000000001,B,"83",VAL MARIA,119.416
083b,"1","3","4062",BOIS DES ILES,EILANDENHOUT,Bois des Îles,Eilandenhout,144812.00000000000,173685.00000000000,B,"83",VAL MARIA,484.881
083b,"1","4","2176",BASILIX,BASILIX,Basilix,Basilix,145001.39999999999,173562.60000000001,B,"83",VAL MARIA,759.993
083b,"1","5",2158B,PAMPOEL,PAMPOEL,Pampoel,Pampoel,145531.10000000001,173329.70000000001,B,"83",VAL MARIA,1374.688
083b,"1","6","2729",DE VILLEGAS,DE VILLEGAS,De Villegas,De Villegas,145723.00000000000,173242.00000000000,B,"83",VAL MARIA,1585.763
083b,"1","7","4156",BEECKMANS,BEECKMANS,Beeckmans,Beeckmans,145912.70000000001,173222.20000000001,B,"83",VAL MARIA,1818.348
083b,"1","8","4157",SORENSEN,SORENSEN,Sorensen,Sorensen,146008.00000000000,173409.00000000000,B,"83",VAL MARIA,2029.478
083b,"1","9","2160",NEREUS,NEREUS,Nereus,Nereus,146217.00000000000,173622.00000000000,B,"83",VAL MARIA,2334.544
083b,"1","10","9103",SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146419.00000000000,173987.00000000000,B,"83",VAL MARIA,2773.955
083b,"1","11","1065",LE ROUX,LE ROUX,Le Roux,Le Roux,146695.00000000000,174311.00000000000,B,"83",VAL MARIA,3444.490
083b,"1","12","1066",EUGENE TOUSSAINT,EUGENE TOUSSAINT,Eugène Toussaint,Eugène Toussaint,146699.00000000000,174537.00000000000,B,"83",VAL MARIA,3671.780
083b,"1","13","1067",RENIERS,RENIERS,Reniers,Reniers,146717.00000000000,174718.00000000000,B,"83",VAL MARIA,3863.856
083b,"1","14","1768",BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146761.29999999999,174954.79999999999,B,"83",VAL MARIA,4136.327
083b,"1","15","2801",CROCQ,CROCQ,Crocq,Crocq,147244.00000000000,174951.00000000000,B,"83",VAL MARIA,4620.052
083b,"1","16","2867",HOPITAL BRUGMANN,BRUGMANN-ZIEKENH.,Hôpital Brugmann,Brugmann-ziekenhuis,147461.00000000000,175049.00000000000,B,"83",VAL MARIA,5022.694
083b,"1","17","1467",HOP. DES ENFANTS,KINDERZIEKENHUIS,Hôpital des Enfants,Kinderziekenhuis,147102.79999999999,175358.00000000000,B,"83",VAL MARIA,5659.643
083b,"1","18","9047",STIENON,STIENON,Stiénon,Stiénon,147190.00000000000,175501.00000000000,B,"83",VAL MARIA,5868.448
083b,"1","19","4259",PATTIJN,PATTIJN,Pattijn,Pattijn,146929.00000000000,175643.00000000000,B,"83",VAL MARIA,6240.213
083b,"1","20","2842",TIRCHER,TIRCHER,Tircher,Tircher,146804.39999999999,175800.50000000000,B,"83",VAL MARIA,6442.378
083b,"1","21",4072B,DE HEYN,DE HEYN,De Heyn,De Heyn,146583.20000000001,175921.60000000001,B,"83",VAL MARIA,6882.009
083b,"1","22","4261",PALFIJN,PALFIJN,Palfijn,Palfijn,147004.00000000000,175947.00000000000,B,"83",VAL MARIA,7310.980
083b,"1","23","4268",AMETHYSTE,AMETHIST,Améthyste,Amethist,147070.00000000000,176187.00000000000,B,"83",VAL MARIA,7638.204
083b,"1","24","6482",ROI BAUDOUIN,KONING BOUDEWIJN,Roi Baudouin,Koning Boudewijn,147265.00000000000,176275.00000000000,B,"83",VAL MARIA,7870.491
083b,"1","25","2740",HEYSEL,HEIZEL,Heysel,Heizel,147594.89999999999,176351.50000000000,B,"83",VAL MARIA,8213.384
083b,"1","26","2742",PALAIS 12,PALEIS 12,Palais 12,Paleis 12,148090.29999999999,176586.00000000000,B,"83",VAL MARIA,8831.914
083b,"1","27","2745",ESPLANADE,ESPLANADE,Esplanade,Esplanade,148500.29999999999,176805.29999999999,B,"83",VAL MARIA,9438.288
083b,"1","28","2747",BERGDAL,BERGDAL,Bergdal,Bergdal,149080.79999999999,176772.29999999999,B,"83",VAL MARIA,10020.170
083b,"1","29","2751",FORUM,FORUM,Forum,Forum,149191.60000000001,176516.29999999999,B,"83",VAL MARIA,10425.231
083b,"1","30","2813",DE WAND,DE WAND,De Wand,De Wand,149193.00000000000,176148.00000000000,B,"83",VAL MARIA,10942.068
083b,"1","31","2814",PAGODES,PAGODEN,Pagodes,Pagoden,149580.00000000000,176166.00000000000,B,"83",VAL MARIA,11347.384
083b,"1","32",2815B,LONG BONNIER,LANGE BUNDER,Long Bonnier,Lange Bunder,149777.39999999999,176158.00000000000,B,"83",VAL MARIA,11552.853
083b,"1","33","2816",VERSAILLES,VERSAILLES,Versailles,Versailles,150247.00000000000,176210.00000000000,B,"83",VAL MARIA,12025.326
083b,"1","34","2817",BEYSEGHEM,BEIZEGEM,Beyseghem,Beizegem,150583.00000000000,176251.00000000000,B,"83",VAL MARIA,12364.178
083b,"1","35","2756",CRAETBOS,CRAETBOS,Craetbos,Craetbos,150980.29999999999,176229.50000000000,B,"83",VAL MARIA,12768.452
083b,"1","36","2365",VAL MARIA,MARIENDAAL,Val Maria,Mariëndaal,151171.00000000000,176617.00000000000,B,"83",VAL MARIA,13283.862
083b,"1","37","2822",VAL MARIA,MARIENDAAL,Val Maria,Mariëndaal,151157.00000000000,176578.00000000000,B,"83",VAL MARIA,13473.961
086b,"1","1","3234",MACHTENS,MACHTENS,Machtens,Machtens,145215.00000000000,171215.00000000000,B,"86",BOCKSTAEL,0.000
086b,"1","2","3238",CONDOR,CONDOR,Condor,Condor,145666.00000000000,171335.00000000000,B,"86",BOCKSTAEL,612.075
086b,"1","3","3252",TAMARIS,TAMARISKEN,Tamaris,Tamarisken,145699.00000000000,171170.00000000000,B,"86",BOCKSTAEL,822.144
086b,"1","4","3281",DUBOIS,DUBOIS,Dubois,Dubois,145981.00000000000,171219.00000000000,B,"86",BOCKSTAEL,1108.392
086b,"1","5","3282",JOSEPH BAECK,JOSEPH BAECK,Joseph Baeck,Joseph Baeck,146316.10000000001,171294.50000000000,B,"86",BOCKSTAEL,1452.366
086b,"1","6","3253",GARE DE L'OUEST,WESTSTATION,Gare de l'Ouest,Weststation,146686.00000000000,170939.00000000000,B,"86",BOCKSTAEL,2052.588
086b,"1","7","3257",QUATRE-VENTS,VIER WINDEN,Quatre-Vents,Vier Winden,146990.00000000000,170976.00000000000,B,"86",BOCKSTAEL,2360.733
086b,"1","8","4595",DUCHESSE BRABANT,HERTOGIN BRABANT,Duchesse de Brabant,Hertogin van Brabant,147293.70000000001,171007.00000000000,B,"86",BOCKSTAEL,2708.577
086b,"1","9","1242",ELEPHANT,OLIFANT,Éléphant,Olifant,147517.00000000000,171285.00000000000,B,"86",BOCKSTAEL,3097.912
086b,"1","10","6754",BORNE,PAAL,Borne,Paal,147662.00000000000,171529.00000000000,B,"86",BOCKSTAEL,3385.234
086b,"1","11","6755",COMTE DE FLANDRE,GRAAF VAN VLAAND.,Comte de Flandre,Graaf van Vlaanderen,147842.00000000000,171736.00000000000,B,"86",BOCKSTAEL,3663.405
086b,"1","12","4253",RIBAUCOURT,RIBAUCOURT,Ribaucourt,Ribaucourt,148080.00000000000,172168.00000000000,B,"86",BOCKSTAEL,4162.511
086b,"1","13","1351",AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148620.39999999999,172547.00000000000,B,"86",BOCKSTAEL,5034.286
