"Line","Variance","From","To","Speed Average"
2,1,"8401","8301",34.11203021373599
2,1,"8301","8311",26.565774937376865
2,1,"8311","8321",32.80016307595576
2,1,"8321","8331",28.717994931152102
2,1,"8331","8341",26.05313326250261
2,1,"8341","8351",25.224939391027785
2,1,"8351","8361",32.10179673078055
2,1,"8361","8371",34.89490529808976
2,1,"8371","8381",27.66402123390704
2,1,"8381","8743",28.753909304643102
2,1,"8743","8753",30.42453004948934
2,1,"8753","8763",42.71501533847091
3,0,"5701","5700G",17.290423192762585
3,0,"5700G","5704F",21.501221983015387
3,0,"5704F","5705",23.12990615514121
3,0,"5705","5706",20.380397378641863
3,0,"5706","5707",12.650622682829031
3,0,"5707","2338F",17.104006431334003
3,0,"2338F","2318G",19.05187414046548
3,0,"2318G","2543F",13.527362654280033
3,0,"2543F","6178",10.22881579638819
3,0,"6178","5714",11.632379395377031
3,0,"5714","0531",19.483527862756027
3,0,"0531","0511",18.86955216139272
3,0,"0511","0501",21.303806464420596
3,0,"0501","0601",20.531939962523932
3,0,"0601","0611",21.263454236781246
3,0,"0611","0621",14.125063068682476
3,0,"0621","0702",19.520914705859372
3,0,"0702","0703",20.630678195992044
3,0,"0703","0704",22.66507585571903
3,0,"0704","0705",18.2377465098519
3,0,"0705","0706",15.73914147084118
3,0,"0706","6253",14.367962566817551
3,0,"6253","6422F",12.229831089075175
3,0,"6422F","5221F",11.911439428612093
3,0,"5221F","9959F",9.0850216976348
3,1,"9986F","5219F",10.66688323351471
3,1,"5219F","6424F",9.691753679188484
3,1,"6424F","6209",14.882188095902473
3,1,"6209","0722",16.36951961896285
3,1,"0722","0723",20.758971441256158
3,1,"0723","0724",20.6222999160055
3,1,"0724","0725",19.62842559990913
3,1,"0725","0726",15.845503983280604
3,1,"0726","0626",16.892376165218185
3,1,"0626","0616",22.829538396993218
3,1,"0616","0606",21.25110119008366
3,1,"0606","0506",22.570343395563736
3,1,"0506","0516",21.605482696542687
3,1,"0516","0526",17.096469801634623
3,1,"0526","6177",9.166088404213728
3,1,"6177","6179",11.365651612916452
3,1,"6179","2537F",12.235978844214664
3,1,"2537F","2200F",22.321393975098744
3,1,"2200F","2337F",18.98715500393806
3,1,"2337F","5770F",16.78896304464071
3,1,"5770F","5771",20.001410358502504
3,1,"5771","5772",22.19636946181455
3,1,"5772","5773",18.602623527067276
3,1,"5773","5806",20.980524849277604
3,1,"5806","5776",39.64628846581241
4,0,"0531","0511",11.53970753657855
4,0,"0511","0501",9.708353388118956
4,0,"0501","0601",17.93816241933514
4,0,"0601","0611",18.562688818757074
4,0,"0611","0621",13.747389702228249
4,0,"0621","0702",16.51255063450042
4,0,"0702","0703",18.852559252466342
4,0,"0703","0704",18.489141592718124
4,0,"0704","0705",16.995283566644535
4,0,"0705","0706",14.497571969800628
4,0,"0706","6253",13.471184260936575
4,0,"6253","6423F",12.090258085921302
4,0,"6423F","5024",17.275636304815954
4,0,"5024","5025",15.11782882722818
4,0,"5025","5026",12.952026917185105
4,0,"5026","1984G",16.640803923174474
4,0,"1984G","5952F",20.7146685623824
4,0,"5952F","5953F",11.531777331241544
4,0,"5953F","5920H",7.967873087697617
4,0,"5920H","4502F",20.28551165756017
4,1,"4501F","5921G",13.53212713919439
4,1,"5921G","5916F",14.747335800920801
4,1,"5916F","5917F",17.494968827426444
4,1,"5917F","1985G",12.639689701136763
4,1,"1985G","5058F",14.18789028749871
4,1,"5058F","5059",19.581576906874847
4,1,"5059","5060",14.170944264133286
4,1,"5060","6424F",12.079012724312047
4,1,"6424F","6209",14.986887490991359
4,1,"6209","0722",16.560578821443162
4,1,"0722","0723",21.177204968333893
4,1,"0723","0724",20.838692989714172
4,1,"0724","0725",19.892879874871404
4,1,"0725","0726",15.768287448009755
4,1,"0726","0626",16.41270797241693
4,1,"0626","0616",22.56650387456722
4,1,"0616","0606",21.200301409972333
4,1,"0606","0506",23.00382415699
4,1,"0506","0516",20.19985884668472
4,1,"0516","0526",27.649859455058596
5,0,"8642","8652",79.90182714429982
5,0,"8652","8662",59.35772667138703
5,0,"8662","8672",33.19632164744998
5,0,"8672","8682",41.88557535805877
5,0,"8682","8692",38.79254327246544
5,0,"8692","8702",36.324516248611566
5,0,"8702","8712",68.26017351237142
5,0,"8712","8722",33.76781587258748
5,0,"8722","8732",59.8490129904078
5,0,"8732","8742",31.35467648095355
5,0,"8742","8292",39.07658695746409
5,0,"8292","8282",44.042849890177294
5,0,"8282","8272",31.49782369624472
5,0,"8272","8012",26.74550280832342
5,0,"8012","8022",35.651650850667394
5,0,"8022","8032",28.766633180514514
5,0,"8032","8042",30.04164447392951
5,0,"8042","8052",57.717581749756086
5,0,"8052","8062",25.19359081253502
5,0,"8062","8072",41.97862853039123
5,0,"8072","8202",35.04722416817548
5,0,"8202","8212",61.89484315117125
5,0,"8212","8222",41.06665091977362
5,0,"8222","8232",28.506276803250888
5,0,"8232","8242",35.20950843789245
5,0,"8242","8252",43.73361601906575
5,0,"8252","8262",58.91677310183091
5,1,"8261","8251",52.82625343370953
5,1,"8251","8241",41.8334928901129
5,1,"8241","8231",40.215972860332634
5,1,"8231","8221",29.38970142372768
5,1,"8221","8211",39.05231111449731
5,1,"8211","8201",65.00408473389953
5,1,"8201","8071",41.191298265146386
5,1,"8071","8061",44.52719175620083
5,1,"8061","8051",23.32256946332058
5,1,"8051","8041",41.91304010069933
5,1,"8041","8031",29.97081933264963
5,1,"8031","8021",29.31491026459323
5,1,"8021","8011",59.364683962519806
5,1,"8011","8271",26.569434077096954
5,1,"8271","8281",31.673816268135656
5,1,"8281","8291",60.580552399812255
5,1,"8291","8741",39.134868499267355
5,1,"8741","8731",31.622988438087994
5,1,"8731","8721",36.08947368445198
5,1,"8721","8711",36.92272943717933
5,1,"8711","8701",68.12403971017693
5,1,"8701","8691",65.01549469429888
5,1,"8691","8681",44.23056857464711
5,1,"8681","8671",50.184289497730695
5,1,"8671","8661",36.09539140220647
5,1,"8661","8651",44.786892861403345
5,1,"8651","8641",
6,0,"8834","8824",47.765327964460724
6,0,"8824","8814",31.28636542656722
6,0,"8814","8804",34.176076181096214
6,0,"8804","8794",40.4466285927265
6,0,"8794","8784",37.085922127343295
6,0,"8784","8774",37.6891553583112
6,0,"8774","8764",44.40424170688566
6,0,"8764","8754",39.797262393014165
6,0,"8754","8744",26.45169547645387
6,0,"8744","8382",31.399638813275207
6,0,"8382","8372",28.460423914226013
6,0,"8372","8362",34.30211485012945
6,0,"8362","8352",33.88455812725435
6,0,"8352","8342",28.899248027965783
6,0,"8342","8332",26.56198864090827
6,0,"8332","8322",29.683494709219808
6,0,"8322","8312",33.753923427317
6,0,"8312","8302",26.490189922963623
6,0,"8302","8402",33.9675719213667
6,0,"8402","8412",31.127337718047514
6,0,"8412","8422",32.82828108524061
6,0,"8422","8432",32.27778594316633
6,0,"8432","8442",32.681568375333896
6,0,"8442","8462",41.364587250076504
6,0,"8462","8472",36.25808811491822
6,1,"8471","8461",
6,1,"8461","8441",
6,1,"8441","8431",
6,1,"8431","8421",
6,1,"8421","8411",
6,1,"8411","8401",
6,1,"8401","8301",
6,1,"8301","8311",
6,1,"8311","8321",
6,1,"8321","8331",
6,1,"8331","8341",
6,1,"8341","8351",
6,1,"8351","8361",
6,1,"8361","8371",
6,1,"8371","8381",
6,1,"8381","8743",
6,1,"8743","8753",
6,1,"8753","8763",
6,1,"8763","8773",
6,1,"8773","8783",
6,1,"8783","8793",
6,1,"8793","8803",
6,1,"8803","8813",
6,1,"8813","8823",
6,1,"8823","8834",
7,0,"6421F","5221F",12.327335311224491
7,0,"5221F","9963F",3.7928381845027217
7,0,"9963F","5222F",9.01193983107106
7,0,"5222F","5253",14.74146007184084
7,0,"5253","5254",16.645798928113432
7,0,"5254","5255F",12.318434537749587
7,0,"5255F","5256F",13.448361223372373
7,0,"5256F","1048F",11.791869929792133
7,0,"1048F","5258",9.24820440897452
7,0,"5258","3480",7.858742642622195
