"LineID";"DirectionID";"DistanceFromPoint";"PointID";"Time";"Variance"
89;1261;0;3222;00:45:44;1
89;1261;0;2781;00:45:44;1
89;1261;0;3347;00:45:44;1
89;1261;0;3347;00:45:44;1
89;3347;9;2754;00:45:44;0
89;3347;38;3259;10:05:33;0
89;3347;40;4595;10:05:33;0
89;1261;344;2783;10:05:33;1
89;1261;19;3222;10:05:33;1
89;1261;163;2781;10:05:33;1
89;2788;0;1203;10:05:33;-1
89;1261;0;3347;10:05:33;1
89;1261;0;3347;10:05:33;1
89;3347;42;2754;10:05:33;0
89;3347;38;3259;19:40:43;0
89;1261;175;3222;19:40:43;1
89;1261;0;2783;19:40:43;1
89;2788;0;1203;19:40:43;-1
89;1261;0;3347;19:40:43;1
89;1261;0;3347;19:40:43;1
89;3347;42;2754;19:40:43;0
89;3347;38;3259;04:21:14;0
89;3347;308;6648;04:21:14;0
89;1261;327;3222;04:21:14;1
89;1261;0;2783;04:21:14;1
89;2788;0;1203;04:21:14;-1
89;1261;0;3347;04:21:14;1
89;1261;0;3347;04:21:14;1
89;3347;42;2754;04:21:14;0
89;3347;131;3259;13:46:09;0
89;1261;327;3222;13:46:09;1
89;1261;66;2783;13:46:09;1
89;2788;0;1203;13:46:09;-1
89;1261;67;2301;13:46:09;1
89;3347;42;2754;13:46:09;0
89;3347;36;3261;22:42:04;0
89;3347;326;3259;22:42:04;0
89;1261;327;3222;22:42:04;1
89;1261;259;2783;22:42:04;1
89;2788;82;1203;22:42:04;-1
89;1261;67;2301;22:42:04;1
89;3347;46;2776;22:42:04;0
89;3347;36;3261;07:32:51;0
89;3347;361;3259;07:32:51;0
89;1261;327;3222;07:32:51;1
89;1261;329;2783;07:32:51;1
89;2788;196;1203;07:32:51;-1
89;1261;67;2301;07:32:51;1
89;3347;46;2776;07:32:51;0
89;3347;36;3261;16:33:52;0
89;3347;7;3260;16:33:52;0
89;1261;332;2783;16:33:52;1
89;2788;36;2648;16:33:52;-1
89;1261;67;2301;16:33:52;1
89;3347;46;2776;16:33:52;0
89;3347;0;1894;01:40:00;0
89;3347;231;3260;01:40:00;0
89;1261;263;2768;01:40:00;1
89;1261;332;2783;01:40:00;1
89;2788;76;2648;01:40:00;-1
89;1261;67;2301;01:40:00;1
89;3347;157;2776;01:40:00;0
89;3347;1;1894;10:42:44;0
89;3347;71;3261;10:42:44;0
89;1261;321;2768;10:42:44;1
89;1261;332;2783;10:42:44;1
89;2788;76;2648;10:42:44;-1
89;1261;40;2595;10:42:44;1
89;1261;0;3347;10:42:44;1
89;3347;157;2776;10:42:44;0
89;3347;146;1894;19:55:42;0
89;3347;128;3261;19:55:42;0
89;1261;0;2750;19:55:42;1
89;1261;16;3226;19:55:42;1
89;1261;332;2783;19:55:42;1
89;2788;38;1204;19:55:42;-1
89;1261;153;2595;19:55:42;1
89;1261;0;3347;19:55:42;1
89;3347;157;2776;19:55:42;0
89;3347;228;1894;05:12:06;0
89;3347;186;3261;05:12:06;0
89;1261;0;2750;05:12:06;1
89;1261;38;3226;05:12:06;1
89;1261;332;2783;05:12:06;1
89;2788;38;1204;05:12:06;-1
89;1261;226;2595;05:12:06;1
89;1261;0;3347;05:12:06;1
89;3347;157;2776;05:12:06;0
89;3347;14;1820;14:21:39;0
89;3347;291;3261;14:21:39;0
89;1261;203;2750;14:21:39;1
89;1261;210;3226;14:21:39;1
89;1261;332;2783;14:21:39;1
89;2788;38;1204;14:21:39;-1
89;1261;0;2303;14:21:39;1
89;1261;0;3347;14:21:39;1
89;3347;157;2776;14:21:39;0
89;3347;40;1820;23:41:27;0
89;3347;40;1894;23:41:27;0
89;1261;0;1257;23:41:27;1
89;1261;485;3226;23:41:27;1
89;1261;332;2783;23:41:27;1
