"Time";"LineID";"DirectionID";"DistanceFromPoint";"PointID "
1632081993339;49;1288;0;2531
1632081993339;49;1288;44;2531
1632081993339;49;1288;38;2256
1632081993339;50;9658;0;2531
1632081993339;50;2500;0;1085
1632081993339;50;9658;538;2555
1632081993339;50;2500;0;9658
1632081993339;51;1289;46;6649
1632081993339;51;1289;0;5822
1632081993339;51;1110;0;1290
1632081993339;51;1110;0;1290
1632081993339;51;1110;0;1110
1632081993339;51;1110;0;5011
1632081993339;51;1289;0;722
1632081993339;51;1110;280;6650
1632081993339;51;1289;38;5824
1632081993339;51;1289;42;5078
1632081993339;53;1483;38;2823
1632081993339;53;1483;0;3001
1632081993339;53;3001;36;2567
1632081993339;53;1483;0;1483
1632081993339;53;3001;0;2647
1632081993339;54;1780;0;1072
1632081993339;54;1780;54;2971
1632081993339;54;1072;0;1780
1632081993339;54;1072;40;2950
1632081993339;55;5710;82;2902
1632081993339;55;529;327;5805
1632081993339;55;5299;262;2901
1632081993339;55;9943;0;529
1632081993339;55;9943;38;5865
1632081993339;55;5299;43;5868
1632081993339;55;9943;150;5362
1632081993339;55;5710;0;5041
1632081993339;56;1474;0;2379
1632081993339;56;1474;0;2379
1632081993339;56;2378;443;6370
1632081993339;56;2378;99;1474
1632081993339;56;1474;0;6191
1632081993339;56;1474;123;1974
1632081993339;58;2831;42;9753
1632081993339;58;9751;86;9776
1632081993339;58;9751;347;1030
1632081993339;58;2831;218;6123
1632081993339;59;3125;46;3102
1632081993339;59;3125;89;3100
1632081993339;59;3130;204;1512
1632081993339;59;3130;0;3125
1632081993339;59;3130;486;5299
1632081993339;60;2068;42;1250
1632081993339;60;1962;85;1910
1632081993339;60;1962;0;1736
1632081993339;60;1962;0;1425
1632081993339;60;2068;36;1884
1632081993339;61;2289;36;6020
1632081993339;61;1900;40;1571
1632081993339;61;1900;497;2287
1632081993339;62;3308;0;5042
1632081993339;62;3308;0;3335
1632081993339;62;3334;246;5354
1632081993339;63;6442;268;3358
1632081993339;63;6442;0;3401
1632081993339;63;6442;147;5308
1632081993339;63;3274;249;2247
1632081993339;63;6442;0;3401
1632081993339;63;3401;308;6445
1632081993339;64;4952;72;2917
1632081993339;64;3134;12;6190
1632081993339;64;4952;99;1776
1632081993339;65;6442;141;3306
1632081993339;65;3042;54;2100
1632081993339;65;6442;0;3042
1632081993339;65;3042;98;3072
1632081993339;65;3042;42;6081
1632081993339;65;6442;157;6303
1632081993339;65;6442;945;9701
1632081993339;66;6442;0;3284
1632081993339;66;3288;8;6410
1632081993339;66;6442;183;3417
1632081993339;66;3288;36;3448
1632081993339;66;6442;42;6303
1632081993339;71;2596;36;3525
1632081993339;71;3520;66;3508
1632081993339;71;2596;336;3570
1632081993339;71;3520;34;5407
1632081993339;71;2596;34;3521
1632081993339;71;2596;55;2967
1632081993339;71;3520;49;3508
1632081993339;72;3522;166;6469
1632081993339;72;3522;38;3514
1632081993339;74;2417;245;2523
1632081993339;74;2417;0;3074
1632081993339;74;3074;390;5161
1632081993339;75;1486;0;2383
1632081993339;75;1486;379;2383
1632081993339;75;2382;643;1487
1632081993339;76;1629;431;7046
1632081993339;78;3850;192;3802
1632081993339;78;7026;151;3858
1632081993339;78;7026;0;3850
1632081993339;79;1339;164;1043
1632081993339;79;1474;0;3920
1632081993339;79;1339;155;1474
1632081993339;80;4952;54;3176
1632081993339;80;9946;233;1283
1632081993339;80;9946;48;1139
1632081993339;80;4952;109;1152
1632081993339;81;3610;44;2931
1632081993339;81;3610;254;6175
1632081993339;81;3610;0;2286
1632081993339;81;3610;36;6156
1632081993339;81;2284;0;6109
1632081993339;81;2284;0;6860
1632081993339;81;3610;50;6792
1632081993339;81;2284;0;3612
1632081993339;81;2284;69;6117
1632081993339;81;2284;113;6113
1632081993339;81;631;0;3611
1632081993339;82;4263;0;5732
1632081993339;82;5726;38;2544
1632081993339;82;4263;59;4066
1632081993339;82;4263;40;2663
1632081993339;82;4263;50;636
1632081993339;82;4263;0;5732
1632081993339;82;5726;42;5119
1632081993339;82;5726;44;3253
1632081993339;82;5726;8;4002
1632081993339;83;2822;244;2817
1632081993339;83;2845;58;2857
1632081993339;83;2845;3;7180
1632081993339;83;2822;0;2845
1632081993339;83;2822;257;2801
1632081993339;86;2558;38;3257
1632081993339;86;3234;40;1348
1632081993339;86;2558;48;4266
1632081993339;86;3234;0;3234
1632081993339;86;2558;0;3234
1632081993339;87;1112;0;4014
1632081993339;87;4014;10;4659
1632081993339;87;4014;36;4158
1632081993339;87;4014;0;1183
1632081993339;87;1112;166;4105
1632081993339;87;1112;312;4655
1632081993339;88;1727;64;1721
1632081993339;88;2838;412;1083
1632081993339;88;2838;155;2803
1632081993339;89;1261;0;3347
1632081993339;89;1261;399;1260
1632081993339;89;3347;42;2754
1632081993339;89;1261;90;2781
